,시군구명,연면적_합계,주거용,상업용,공업용,교육및사회용,기타,주민등록인구,재고지표_주거용,재고지표_상업용,재고지표_공업용,재고지표_교육및사회용,재고지수_주거용,재고지수_상업용,재고지수_공업용,재고지수_교육및사회용
27170,대구광역시 서구,11431834,5404155,2875257,1791089,858792,502541,159827,33.812528546490896,17.989807729607637,11.20642319507968,5.3732598371989715,91.27535504334084,105.56910881599339,131.19505413840633,78.08979677236736
27200,대구광역시 남구,8626295,5337593,1920881,6119,1268658,93044,141519,37.716440901928365,13.57330817770052,0.04323801044382733,8.964577194581647,101.81378566708727,79.65188230702294,0.5061930129058071,130.28255332613975
27230,대구광역시 북구,29654456,16925357,5965764,2152050,3241206,1370079,430912,39.27798947348879,13.84450653497698,4.994175144809149,7.521735296301797,106.02911372486992,81.24334839272866,58.46745809024936,109.3136752102315
27260,대구광역시 수성구,26158216,17496648,5527918,104696,2282247,746707,411553,42.51371755278178,13.431849603817735,0.2543925083768069,5.545451011169885,114.76381183699398,78.82176473135763,2.978206188354005,80.59225788327346
27290,대구광역시 달서구,36985183,20853377,6467625,5682998,3400773,580410,536989,38.833899763309866,12.044241129706567,10.583080845231466,6.333040341608488,104.8303141168506,70.67889893761458,123.89750416090735,92.03832463185194
27710,대구광역시 달성군,22453547,9981954,3683214,5435902,1748979,1603498,263162,37.93083347899773,13.995994862480146,20.65610536475631,6.646016522142254,102.39252850093825,82.13232330401769,241.82371256581487,96.58681978618529
28110,인천광역시 중구,17144610,5768196,7003341,776435,1283636,2313002,152931,37.717637365870885,45.794122839712024,5.07702820226115,8.393563110160791,101.81701546609507,268.732429487948,59.43742961182463,121.98398315503323
28140,인천광역시 동구,4819823,1990021,1011961,1256438,403521,157882,58999,33.729741182053935,17.152172070713064,21.295920269835083,6.839454906015356,91.05187438670507,100.65363382309161,249.31410889023925,99.39806743515439
28177,인천광역시 미추홀구,23690333,13082995,6545084,1257226,2454505,350523,406004,32.22380813982128,16.120737726721906,3.096585255317682,6.045519255967921,86.98667787493608,94.60089517607717,36.25212640496801,87.85976937383066
28185,인천광역시 연수구,30510470,14670870,6636290,1523959,3766368,3912983,385796,38.02753268566807,17.201552115625876,3.950167964416427,9.76258955510166,102.65356353146278,100.94340942342556,46.24513021915434,141.88009838127152
28200,인천광역시 남동구,35439176,17204023,8018006,7428209,2312645,476293,506181,33.98788773185876,15.840195503189571,14.675005581007584,4.568810366252388,91.74872904382578,92.9545967292726,171.8021993428757,66.39870093796151
28237,인천광역시 부평구,27043601,14513283,6687981,3159730,2172349,510258,489118,29.672355137206154,13.673553212108326,6.460056673440765,4.441359753679071,80.09914864535224,80.2401475683711,75.62872383592935,64.54645616739181
28245,인천광역시 계양구,15544314,9454291,3635854,907981,1314659,231529,288856,32.730118121139945,12.58708145234996,3.1433690143185533,4.551260835849004,88.35343822364253,73.86443432254997,36.79982995748175,66.14365292164129
28260,인천광역시 서구,43932370,21361658,8738260,7734963,2990867,3106622,589013,36.266870170946994,14.835428080534726,13.132075183400026,5.077760592720365,97.90073660455299,87.0583468653877,153.73891246515063,73.79529461783326
28710,인천광역시 강화군,7063635,3199180,1403425,408820,742635,1309575,69803,45.83155451771414,20.10551122444594,5.856768333739238,10.639012649886109,123.72015908365827,117.98463519771052,68.56594876395437,154.61718972469026
28720,인천광역시 옹진군,1571450,830295,473072,4978,130946,132159,20613,40.28016300392956,22.950177072721097,0.24149808373356618,6.352593023819919,108.73443476231456,134.6779119128058,2.8272494816773985,92.32248453226748
29110,광주광역시 동구,9275776,4344991,3296175,18397,1517121,99092,105909,41.02570130961486,31.12270911820525,0.17370572850277124,14.324759935416253,110.74698089462383,182.6365637105105,2.0335955601853697,208.18230014216658
29140,광주광역시 서구,19937198,11681366,5842592,139592,1664339,609309,287401,40.644834221175294,20.329059397844823,0.485704642642162,5.7909993354233285,109.71884782631909,119.29647698045078,5.6862074345623235,84.1608213474856
29155,광주광역시 남구,13137250,8747086,2384460,82747,1603476,319481,212379,41.18620955932555,11.22738123825802,0.38961950098644405,7.550068509598407,111.18026548200936,65.88534182661631,4.5613261819113315,109.72544291461888
29170,광주광역시 북구,28598569,16804736,5581494,1895024,3573158,744157,424707,39.56783382426002,13.141987299479405,4.461956125046209,8.413230768506288,106.8115351278589,77.12077350297527,52.236700791886236,122.26981400813204
29200,광주광역시 광산구,31432277,16153320,5411675,5992541,2581394,1293347,400654,40.317381081931046,13.50710338596395,14.956897971816081,6.442950775482087,108.83490324040976,79.26337449370844,175.10235023219454,93.635657294779
30110,대전광역시 동구,14164569,8377936,3512723,247891,1651477,374542,219751,38.12467747587041,15.985014857725334,1.1280540247825948,7.515219498432317,102.91580139409817,93.80443628439392,13.206275211646368,109.21898086325147
30140,대전광역시 중구,15200181,8832341,3943180,111457,1774048,539155,227108,38.89048822586611,17.362576395371367,0.4907665075646829,7.811472955598218,104.98307205106056,101.88834390888375,5.745467345685705,113.5244440204652
30170,대전광역시 서구,31606365,17303938,7595994,53770,3354005,3298658,470374,36.78761581209846,16.148839008958827,0.11431329112578502,7.130506788215335,99.30646534850123,94.76580118101772,1.3382805697157267,103.62793589858967
30200,대전광역시 유성구,31176843,15623059,6191239,1922706,6298006,1141833,356093,43.873535845972825,17.38657878700227,5.399449020340192,17.68640776426383,118.434578349909,102.0291965034202,63.21205207136208,257.0372603950885
30230,대전광역시 대덕구,14796578,6435948,2841959,3136720,1170737,1211214,172746,37.25671216699663,16.451663135470575,18.157989186435575,6.777216259710789,100.5727692359492,96.54285592469975,212.57794149742298,98.4935507379227
31110,울산광역시 중구,12444359,8092204,2813561,158867,1150427,229300,208132,38.880152979839714,13.518156746679992,0.763299252397517,5.5273912709242214,104.95517253300997,79.32823863554658,8.936043642012867,80.32979496722716
31140,울산광역시 남구,28189836,12540546,6900791,4640120,2240934,1867445,310638,40.37028953315435,22.21489643894179,14.937386926261436,7.213972533946265,108.97772715443796,130.3630841834361,174.8739318837814,104.84094686754742
31170,울산광역시 동구,8998658,5713438,1679250,440660,924765,240545,151711,37.66001146917495,11.068742543388415,2.9046015120854785,6.095569866390703,101.66145702646578,64.95440660524908,34.004547748639766,88.58715686571965
31200,울산광역시 북구,17815458,8650228,2771215,4449643,1152554,791818,218670,39.55836648831573,12.673046142589289,20.348666941052727,5.270745872776329,106.78597849288434,74.36889862114683,238.2244909462238,76.5999572911881
31710,울산광역시 울주군,23162824,8740394,3660401,6940834,1708426,2112769,221512,39.45788038571274,16.524617176496083,31.333896132037992,7.71256636209325,106.51472091215066,96.97097017757824,366.82999810455544,112.0870306028635
36110,세종특별자치시,29934347,15697087,5661425,2935398,3169581,2470856,383591,40.92141630017388,14.75901415830924,7.652416245428073,8.262918055950218,110.46546834079822,86.6099290839568,89.58783245392311,120.08531343837629
41111,경기도 수원시 장안구,13831097,8993945,2421433,206243,1886036,323440,270524,33.246384793955436,8.950898996022534,0.7623833744880306,6.9717880853454774,89.74707619997685,52.526321810370916,8.925321340184041,101.3212707406393
41113,경기도 수원시 권선구,21716970,12810670,5761416,1352945,1443347,348592,367446,34.86408887292282,15.679626394082396,3.6820240252989556,3.928052013084916,94.11399344959297,92.01233330952941,43.105934242257085,57.08653456315833
41115,경기도 수원시 팔달구,12661858,6001188,5118233,15693,1253431,273313,192610,31.15719848398318,26.573038783033073,0.08147552048180261,6.507611235138363,84.10741450084625,155.93785464647738,0.9538445170675105,94.57537030080377
41117,경기도 수원시 영통구,24130416,12567345,5614601,2193054,3565236,190180,360384,34.87209476558338,15.579495760078139,6.085325652637187,9.892880927011188,94.13560498609863,91.42473938101774,71.24169902829482,143.773628019122
41131,경기도 성남시 수정구,13299895,6790604,3933813,268007,1710267,597204,230460,29.465434348693915,17.06939599062744,1.162921982122711,7.421101275709451,79.54057555871266,100.16788116040259,13.614478924044155,107.85115702675591
41133,경기도 성남시 중원구,11983968,5468325,2766303,2644744,864353,240243,210505,25.97717393886131,13.141269803567612,12.563806085366144,4.106092491864802,70.12417811439482,77.11656304085552,147.0861122108757,59.67400385115461
41135,경기도 성남시 분당구,56728772,21266996,14076678,162486,4257751,16964861,481553,44.16335481245055,29.23183533276711,0.33742080310993805,8.841707973992479,119.21693122917316,171.5403995150646,3.9502292355752955,128.49689010565626
41150,경기도 의정부시,24684616,14908000,5806425,470978,2055220,1443993,463724,32.14843311970051,12.521294994436346,1.0156429255332913,4.431989718021927,86.78320649853598,73.47838140644953,11.890263849676268,64.41028107026536
41171,경기도 안양시 만안구,13255729,6921352,3053667,990696,1334929,955085,234394,29.528708072732236,13.02792306970315,4.226626961440992,5.695235372919102,79.7113800467169,76.45141342607774,49.48167166063874,82.76907990995073
41173,경기도 안양시 동안구,20586689,10149346,5023597,2566208,1587670,1259868,313834,32.33985482771146,16.00717895447912,8.176959794031239,5.058948361235558,87.29994053508338,93.93450126214006,95.72873201295094,73.5218957169811
41190,경기도 부천시,48614833,24286482,11680312,5302222,3803263,3542554,790128,30.737402041188265,14.782809873843226,6.710586132879736,4.813477056881923,82.9741934431737,86.74956884666685,78.56170480784131,69.95445158600533
41210,경기도 광명시,15868107,8934534,3825734,1167858,1303115,636866,287945,31.02861310319679,13.286335932209276,4.055837052214833,4.525569119102607,83.76030421985902,77.96785073387973,47.482211976030584,65.7702741906203
41220,경기도 평택시,54174433,24485305,9860100,10332946,2879011,6617071,578529,42.32338396173744,17.04339799733462,17.860722625832068,4.976433333506185,114.25001512181016,100.01531782986679,209.09780320235677,72.32270157017209
41250,경기도 동두천시,6139570,3372719,1277944,496792,631220,360895,91546,36.841795381556814,13.959583160378388,5.426692591702532,6.895112839446836,99.45272058734285,81.91864948386733,63.53099610529568,100.20694637310277
41271,경기도 안산시 상록구,17914510,11461902,3172052,402858,1859669,1018029,344664,33.25529211057726,9.203316853515307,1.1688426989763945,5.39559977253209,89.7711210887234,54.00757879017165,13.683793526449875,78.41446393214135
41273,경기도 안산시 단원구,30681349,10110882,5933877,11754377,1911765,970448,296996,34.04383224016485,19.979652924618513,39.5775599671376,6.4370058856011525,91.89974865335726,117.24606429414214,463.33964300352494,93.54925997607455
41281,경기도 고양시 덕양구,27108421,15947757,6937057,671959,2087303,1464345,490088,32.54059883123031,14.15471711202886,1.3710986598325199,4.259037152511386,87.84183967666374,83.06374884707951,16.051630370768343,61.896754626136016
41285,경기도 고양시 일산동구,23516844,10074608,8105252,837226,2149735,2350023,296122,34.02181533286956,27.37132668292123,2.8273009097601665,7.259626100053357,91.84031503165781,160.6224262348154,33.09957954152677,105.5044319412741
41287,경기도 고양시 일산서구,17728299,10257791,4041389,117201,1826058,1485860,290325,35.332096788082325,13.920223887023164,0.4036889692585895,6.28970291914234,95.37735914436917,81.6876785099576,4.726039277207711,91.4085001648513
41290,경기도 과천시,5081538,2829534,978498,155902,730728,386876,78137,36.21247296415271,12.52285089010328,1.995239131269437,9.351881950932336,97.75389386380122,73.48751182748781,23.358524061530357,135.91126859931788
41310,경기도 구리시,11167197,6079267,2697356,289940,813030,1287604,188701,32.2164005490167,14.294338662752185,1.5365048409918336,4.308562222775714,86.96668142658486,83.88308626874132,17.98806205055276,62.61650442221038
41360,경기도 남양주시,45179326,26354732,8673413,2751195,3063213,4336773,737353,35.74235406921787,11.762904606070634,3.7311776042139924,4.15433720348327,96.48482967687534,69.02793932070027,43.681381584785264,60.375146144617865
41370,경기도 오산시,14400457,7892417,3069424,1240392,1264997,933227,229849,34.337399771154104,13.354088988857903,5.396551649126166,5.503600189689752,92.69222060893426,78.3654441888772,63.17813216965337,79.9840382469337
41390,경기도 시흥시,41738171,20952363,8520911,8369301,2385088,1510508,512912,40.849820242068816,16.612812724210002,16.317225956889292,4.650092023582993,110.27219809736589,97.48852575758441,191.0278869124466,67.57997046420444
41410,경기도 군포시,18627280,9508030,2782989,2465391,1154398,2716472,266213,35.71587413086513,10.453993606623268,9.260971477726482,4.336369749035547,96.41334830950737,61.346891818247414,108.41939780821599,63.02063229619472
41430,경기도 의왕시,9559309,5416781,1538622,972554,1166164,465188,160221,33.80818369626953,9.6031231860992,6.070078204480062,7.278471611087186,91.26362632136669,56.35375162671662,71.06319516924682,105.77831449512252
41450,경기도 하남시,22521714,11030076,6478619,2236988,1147699,1628332,326059,33.82846662720551,19.869468409091606,6.86068472270356,3.5199120404589355,91.31837915417998,116.5994714408815,80.31892852456487,51.15502027151806
41461,경기도 용인시 처인구,25758956,8926930,4778918,3114391,3003752,5934965,259288,34.42862762642313,18.4309262287495,12.011319459442781,11.584616333960692,92.93848597971461,108.15771273753572,140.61807941067005,168.35968529607126
41463,경기도 용인시 기흥구,30127144,17134351,5158552,2415894,4240407,1177940,438235,39.09854530103711,11.771200383355962,5.512781954887218,9.676103004095976,105.5447124909171,69.07662120925134,64.53885547908004,140.6231859303193
41465,경기도 용인시 수지구,21456431,15654717,3250226,213082,1767463,570943,377448,41.475162141540025,8.611056357432018,0.5645333926792565,4.682666221572243,111.96027959707482,50.53203231973726,6.609065865727075,68.0533725661079
41480,경기도 파주시,38909628,17855602,7303062,8594331,1796109,3360524,495315,36.04898297043296,14.744277883770934,17.351243148299567,3.626195451379425,97.31256019653982,86.52345259717832,203.13326068297098,52.69964126706284
41500,경기도 이천시,26380275,7839173,3809599,4326852,1861976,8542675,222721,35.19727820905977,17.10480376794285,19.427229583200507,8.360127693392181,95.01342263338618,100.37566367550923,227.4371039321719,121.49806492670106
41550,경기도 안성시,24546089,7201662,3335869,4913714,1895810,7199034,188842,38.13591256182417,17.664867984876246,26.020239141716356,10.039133243664015,102.9461299883635,103.66227357985396,304.6223244889231,145.8991186953482
41570,경기도 김포시,40063572,17917617,8889438,8404661,1890331,2961525,484267,36.99945897614332,18.35648103215788,17.35542789411626,3.9034891908802374,99.87832615994907,107.72084797622567,203.18225204662195,56.72956210095948
41590,경기도 화성시,90494856,37372003,16869068,23465680,6363573,6424532,910814,41.031432323174656,18.520870342353103,25.76341602127328,6.98668773207263,110.76245150034056,108.68552938010882,301.6156628089218,101.53780789316048
41610,경기도 광주시,27869706,13757413,5277347,3262961,1600555,3971430,391462,35.14367422636169,13.48112205016068,8.335319903336723,4.088659946559308,94.86872116435002,79.11090891387425,97.58267441295052,59.42065598386802
41630,경기도 양주시,21057371,9082186,3821850,3979709,1524160,2649466,243432,37.308924052712875,15.699866903283052,16.348339577376844,6.261132472312597,100.7137128036472,92.1311101497498,191.39213811492647,90.99328473618642
41650,경기도 포천시,20138128,4862716,3700799,6403084,1491224,3680305,146701,33.147122378170565,25.226815086468395,43.647173502566446,10.165056816245288,89.47912190514302,148.03784603885873,510.98313806066324,147.72917093359024
41670,경기도 여주시,12820358,4640227,2017410,1473341,1257445,3431935,113150,41.00951833848873,17.829518338488732,13.021131241714539,11.113079982324349,110.70329571345903,104.62848685785922,152.4400773076361,161.50682893220318
41800,경기도 연천군,4771964,1388840,759203,375103,326438,1922380,42062,33.01887689601065,18.04961723170558,8.91785935048262,7.760876800912938,89.13292916475817,105.92008732171784,104.40253950064589,112.78912811232993
41820,경기도 가평군,6728160,2810731,1649063,177378,1130190,960798,62150,45.22495575221239,26.5335961383749,2.8540305711987126,18.184875301689463,122.08267380615541,155.70639442697453,33.412507165130265,264.2815087423788
41830,경기도 양평군,10737863,5566999,1978054,98910,979918,2113982,122323,45.510648038390165,16.170744667805728,0.8085969114557361,8.010905553330117,122.85388690304539,94.8943495744888,9.466349229177862,116.42280581545104
42110,강원도 춘천시,21880056,11940287,4592077,701752,2791823,1854117,286664,41.65255141908297,16.019022269974606,2.4479948650685124,9.739008037284067,112.43913373737821,94.00400107453812,28.658994334090078,141.5373872543665
42130,강원도 원주시,28901644,15488754,6441561,2055662,2823791,2091876,360807,42.92808620675319,17.853204067548578,5.697400549324154,7.826319888472231,115.88238083008389,104.76748118987697,66.70020938036275,113.74021508048322
42150,강원도 강릉시,17026882,8419368,4150005,817391,1930204,1709914,211381,39.83029695194932,19.63281941139459,3.8669085679413002,9.131397807749988,107.52004218708954,115.210750440381,45.270401633776515,132.70696386544995
42170,강원도 동해시,7043001,3505648,1499891,938880,493283,605299,89426,39.20166394560866,16.77242636369736,10.498960033994587,5.516102699438642,105.8230764967889,98.42518222044507,122.91269088085608,80.16573771336863
42190,강원도 태백시,3107267,1592145,726846,122394,459141,206741,39428,40.38107436339657,18.434767170538702,3.1042406411687127,11.645049203611647,109.00684030426015,108.180252433779,36.341749002981025,169.23795857009816
42210,강원도 속초시,7662201,3572728,3004125,148916,566536,369896,82806,43.14576238436828,36.279073980146364,1.7983720986401952,6.841726444943603,116.46998759155326,212.8955220822184,21.05377610098565,99.43107979983465
42230,강원도 삼척시,5330297,2702620,1111030,339355,613238,564054,63455,42.59112757071941,17.50894334567804,5.347963123473328,9.664139941690962,114.97277659576537,102.74726517898492,62.60929997917102,140.44932627337226
42720,강원도 홍천군,6729298,2688769,1565767,262338,562092,1650332,67977,39.554099180605206,23.033776130161673,3.859217088132751,8.26885564234962,106.77445909332741,135.1684940315537,45.18035647910752,120.17160461529608
42730,강원도 횡성군,6066749,2061885,870650,680202,553025,1900987,46532,44.311119229777354,18.710779678500817,14.617940342130147,11.884831943608699,119.61581443117126,109.7999692715344,171.13412916797512,172.72273057130704
42750,강원도 영월군,3895933,1634737,648491,370144,381750,860811,37728,43.32954304495335,17.188586726039016,9.810856658184903,10.118479643765903,116.96609497441099,100.86732497356874,114.85697514795315,147.05226305209038
42760,강원도 평창군,6200949,2329155,1984426,134785,683644,1068939,40990,56.82251768724079,48.41244205903879,3.288241034398634,16.678311783361796,153.38975519763898,284.0974423182515,38.49586554231416,242.3865618134399
42770,강원도 정선군,3996287,1461037,1447329,148173,466673,473075,34931,41.826371990495545,41.43394119836248,4.241876842918897,13.359852280209555,112.90835432073993,243.14569187120497,49.66020400688962,194.15925919827814
42780,강원도 철원군,4727873,1414541,672019,195747,381189,2064377,42256,33.4755064369557,15.903516660355926,4.63240723210905,9.02094377129875,90.36557946524456,93.32618258676055,54.232194075495165,131.10173100485912
42790,강원도 화천군,2413020,638294,363441,33841,212577,1164867,23388,27.291517017273815,15.539635710620832,1.4469386009919616,9.08914828116983,73.67218639085095,91.19082971606652,16.9394984276016,132.09294983219354
42800,강원도 양구군,1981474,741734,342839,60242,203538,633121,21383,34.68802319599682,16.03325071318337,2.817284758920638,9.518683065986998,93.6387123078626,94.08749746827202,32.98231916069202,138.33539577177433
